id,date,author,text,type,author_channel_url,author_channel_id,edited_date,parent_post_id,parent_username,direct_reply_to,likes
A2ssRGIzuMBA32eCnRaMAH,2024-05-05T08:39:52Z,@lr6477,Most homeless people were nowhere near financially able to buy or rent a home... What's low income housing when you're flat broke and a drug addict. People blame housing prices like these people were close to affording ANYTHING,Reply,http://www.youtube.com/@lr6477,UCzjbTiBFrHMlSb6EUs0d5Pw,2024-05-05T08:39:52Z,UgzxlmZKD4J2m5yc1JB4AaABAg,@andyroo9381,,1
A2ssRGIzuMBA5sw1ddL8Cv,2024-07-14T18:18:10Z,@ovibiswas7849,​@@kaythegardenerrurual areas dont . Europe rural areas has homeless usa dont,Reply,http://www.youtube.com/@ovibiswas7849,UCzjbTiBFrHMlSb6EUs0d5Pw,2024-07-14T18:18:10Z,UgzxlmZKD4J2m5yc1JB4AaABAg,@andyroo9381,,0
UgyRHn2YJowKhI5HZ2B4AaABAg,2024-05-01T04:07:14Z,@takuan650,Being homeless and then keeping two dogs in homelessness.. Go figure.,Thread,http://www.youtube.com/@takuan650,UCFBsoG3DqTyNNL7u4PC6F7w,2024-05-01T04:07:14Z,,,,21
A2srpUMXBGRA2zaThGj9UW,2024-05-03T18:50:15Z,@cezarstefanseghjucan,"Yeah, the homeless always have money for alcohol, tobacco or drugs.",Reply,http://www.youtube.com/@cezarstefanseghjucan,UCFBsoG3DqTyNNL7u4PC6F7w,2024-05-03T18:50:15Z,UgyRHn2YJowKhI5HZ2B4AaABAg,@takuan650,,6
A2srpUMXBGRA2zgsapWGqP,2024-05-03T19:46:13Z,@cezarstefanseghjucan,"@@margaret-yr6uh Because dumb people give them money. 
This needs to end.",Reply,http://www.youtube.com/@cezarstefanseghjucan,UCFBsoG3DqTyNNL7u4PC6F7w,2024-05-03T19:46:13Z,UgyRHn2YJowKhI5HZ2B4AaABAg,@takuan650,,1
A2srpUMXBGRA31BSDClYY9,2024-05-04T19:00:35Z,@BalboaBaggins,"And smoking, drinking, eating meat etc. Always the same story.",Reply,http://www.youtube.com/@BalboaBaggins,UCFBsoG3DqTyNNL7u4PC6F7w,2024-05-04T19:00:35Z,UgyRHn2YJowKhI5HZ2B4AaABAg,@takuan650,,4
A2srpUMXBGRA31UATkpzNE,2024-05-04T21:44:11Z,@cezarstefanseghjucan,@@margaret-yr6uh One silver lining.,Reply,http://www.youtube.com/@cezarstefanseghjucan,UCFBsoG3DqTyNNL7u4PC6F7w,2024-05-04T21:44:11Z,UgyRHn2YJowKhI5HZ2B4AaABAg,@takuan650,,0
UgxlQMQ0yISPdH6zuuR4AaABAg,2024-05-01T04:06:51Z,@nitzneymann3977,It's wonderful how there are still good people amidst this falling world. They are real heroes.,Thread,http://www.youtube.com/@nitzneymann3977,UCRbtgYB29riaGHhLm-LEctw,2024-05-01T04:06:51Z,,,,65
UgyXhKmUQeX2ZkY96oh4AaABAg,2024-05-01T03:40:44Z,@simontemplar9949,The rich is pushing up the prices of the rent because they control the property market . This is how it is everywhere.  That's why in history the communists comes and take away private properties.  It would be better if governments would do something about it before people awake .,Thread,http://www.youtube.com/@simontemplar9949,UCIask2ovNPs2Rtv5Ftll3NA,2024-05-01T03:40:44Z,,,,1
A2sonQ047MIA3MMqTz47Oq,2024-05-13T00:24:12Z,@shauncameron8390,"<That's why in history the communists comes and take away private properties. >

While condemning the people to squalor and housing falls into disrepair.",Reply,http://www.youtube.com/@shauncameron8390,UCIask2ovNPs2Rtv5Ftll3NA,2024-05-13T00:24:12Z,UgyXhKmUQeX2ZkY96oh4AaABAg,@simontemplar9949,,0
